Dörr-ID,Lägenhet,Adress,Dörrtyp,Dörrmodell,Installationsår,Inventeringsdatum,Skick,Inventerad av,Kommentar
D79-01-ENT,79-01,79F,Entrédörr,,,,,,
D79-01-BAL,79-01,79F,Balkongdörr,,,,,,
D79-01-FOR,79-01,79F,Förrådsdörr,,,,,,
D79-02-ENT,79-02,79E,Entrédörr,,,,,,
D79-02-BAL,79-02,79E,Balkongdörr,,,,,,
D79-02-FOR,79-02,79E,Förrådsdörr,,,,,,
D79-03-ENT,79-03,79D,Entrédörr,,,,,,
D79-03-BAL,79-03,79D,Balkongdörr,,,,,,
D79-03-FOR,79-03,79D,Förrådsdörr,,,,,,
D79-04-ENT,79-04,79C,Entrédörr,,,,,,
D79-04-BAL,79-04,79C,Balkongdörr,,,,,,
D79-04-FOR,79-04,79C,Förrådsdörr,,,,,,
D79-05-ENT,79-05,79B,Entrédörr,,,,,,
D79-05-BAL,79-05,79B,Balkongdörr,,,,,,
D79-05-FOR,79-05,79B,Förrådsdörr,,,,,,
D79-06-ENT,79-06,79A,Entrédörr,,,,,,
D79-06-BAL,79-06,79A,Balkongdörr,,,,,,
D79-06-FOR,79-06,79A,Förrådsdörr,,,,,,
D77-07-ENT,77-07,77E,Entrédörr,,,,,,
D77-07-BAL,77-07,77E,Balkongdörr,,,,,,
D77-07-FOR,77-07,77E,Förrådsdörr,,,,,,
D77-08-ENT,77-08,77D,Entrédörr,,,,,,
D77-08-BAL,77-08,77D,Balkongdörr,,,,,,
D77-08-FOR,77-08,77D,Förrådsdörr,,,,,,
D77-09-ENT,77-09,77C,Entrédörr,,,,,,
D77-09-BAL,77-09,77C,Balkongdörr,,,,,,
D77-09-FOR,77-09,77C,Förrådsdörr,,,,,,
D77-10-ENT,77-10,77B,Entrédörr,,,,,,
D77-10-BAL,77-10,77B,Balkongdörr,,,,,,
D77-10-FOR,77-10,77B,Förrådsdörr,,,,,,
D77-11-ENT,77-11,77A,Entrédörr,,,,,,
D77-11-BAL,77-11,77A,Balkongdörr,,,,,,
D77-11-FOR,77-11,77A,Förrådsdörr,,,,,,
D71-12-ENT,71-12,71A,Entrédörr,,,,,,
D71-12-BAL,71-12,71A,Balkongdörr,,,,,,
D71-12-FOR,71-12,71A,Förrådsdörr,,,,,,
D71-13-ENT,71-13,71B,Entrédörr,,,,,,
D71-13-BAL,71-13,71B,Balkongdörr,,,,,,
D71-13-FOR,71-13,71B,Förrådsdörr,,,,,,
D71-14-ENT,71-14,71C,Entrédörr,,,,,,
D71-14-BAL,71-14,71C,Balkongdörr,,,,,,
D71-14-FOR,71-14,71C,Förrådsdörr,,,,,,
D71-15-ENT,71-15,71D,Entrédörr,,,,,,
D71-15-BAL,71-15,71D,Balkongdörr,,,,,,
D71-15-FOR,71-15,71D,Förrådsdörr,,,,,,
D71-16-ENT,71-16,71E,Entrédörr,,,,,,
D71-16-BAL,71-16,71E,Balkongdörr,,,,,,
D71-16-FOR,71-16,71E,Förrådsdörr,,,,,,
D71-17-ENT,71-17,71F,Entrédörr,,,,,,
D71-17-BAL,71-17,71F,Balkongdörr,,,,,,
D71-17-FOR,71-17,71F,Förrådsdörr,,,,,,
D71-18-ENT,71-18,71G,Entrédörr,,,,,,
D71-18-BAL,71-18,71G,Balkongdörr,,,,,,
D71-18-FOR,71-18,71G,Förrådsdörr,,,,,,
D71-19-ENT,71-19,71H,Entrédörr,,,,,,
D71-19-BAL,71-19,71H,Balkongdörr,,,,,,
D71-19-FOR,71-19,71H,Förrådsdörr,,,,,,
D75-20-ENT,75-20,75F,Entrédörr,,,,,,
D75-20-BAL,75-20,75F,Balkongdörr,,,,,,
D75-20-FOR,75-20,75F,Förrådsdörr,,,,,,
D75-21-ENT,75-21,75E,Entrédörr,,,,,,
D75-21-BAL,75-21,75E,Balkongdörr,,,,,,
D75-21-FOR,75-21,75E,Förrådsdörr,,,,,,
D75-22-ENT,75-22,75D,Entrédörr,,,,,,
D75-22-BAL,75-22,75D,Balkongdörr,,,,,,
D75-22-FOR,75-22,75D,Förrådsdörr,,,,,,
D75-23-ENT,75-23,75C,Entrédörr,,,,,,
D75-23-BAL,75-23,75C,Balkongdörr,,,,,,
D75-23-FOR,75-23,75C,Förrådsdörr,,,,,,
D75-24-ENT,75-24,75B,Entrédörr,,,,,,
D75-24-BAL,75-24,75B,Balkongdörr,,,,,,
D75-24-FOR,75-24,75B,Förrådsdörr,,,,,,
D75-25-ENT,75-25,75A,Entrédörr,,,,,,
D75-25-BAL,75-25,75A,Balkongdörr,,,,,,
D75-25-FOR,75-25,75A,Förrådsdörr,,,,,,
D73-26-ENT,73-26,73E,Entrédörr,,,,,,
D73-26-BAL,73-26,73E,Balkongdörr,,,,,,
D73-26-FOR,73-26,73E,Förrådsdörr,,,,,,
D73-27-ENT,73-27,73D,Entrédörr,,,,,,
D73-27-BAL,73-27,73D,Balkongdörr,,,,,,
D73-27-FOR,73-27,73D,Förrådsdörr,,,,,,
D73-28-ENT,73-28,73C,Entrédörr,,,,,,
D73-28-BAL,73-28,73C,Balkongdörr,,,,,,
D73-28-FOR,73-28,73C,Förrådsdörr,,,,,,
D73-29-ENT,73-29,73B,Entrédörr,,,,,,
D73-29-BAL,73-29,73B,Balkongdörr,,,,,,
D73-29-FOR,73-29,73B,Förrådsdörr,,,,,,
D73-30-ENT,73-30,73A,Entrédörr,,,,,,
D73-30-BAL,73-30,73A,Balkongdörr,,,,,,
D73-30-FOR,73-30,73A,Förrådsdörr,,,,,,
D65-31-ENT,65-31,65E,Entrédörr,,,,,,
D65-31-BAL,65-31,65E,Balkongdörr,,,,,,
D65-31-FOR,65-31,65E,Förrådsdörr,,,,,,
D65-32-ENT,65-32,65D,Entrédörr,,,,,,
D65-32-BAL,65-32,65D,Balkongdörr,,,,,,
D65-32-FOR,65-32,65D,Förrådsdörr,,,,,,
D65-33-ENT,65-33,65C,Entrédörr,,,,,,
D65-33-BAL,65-33,65C,Balkongdörr,,,,,,
D65-33-FOR,65-33,65C,Förrådsdörr,,,,,,
D65-34-ENT,65-34,65B,Entrédörr,,,,,,
D65-34-BAL,65-34,65B,Balkongdörr,,,,,,
D65-34-FOR,65-34,65B,Förrådsdörr,,,,,,
D65-35-ENT,65-35,65A,Entrédörr,,,,,,
D65-35-BAL,65-35,65A,Balkongdörr,,,,,,
D65-35-FOR,65-35,65A,Förrådsdörr,,,,,,
D67-36-ENT,67-36,67A,Entrédörr,,,,,,
D67-36-BAL,67-36,67A,Balkongdörr,,,,,,
D67-36-FOR,67-36,67A,Förrådsdörr,,,,,,
D67-37-ENT,67-37,67B,Entrédörr,,,,,,
D67-37-BAL,67-37,67B,Balkongdörr,,,,,,
D67-37-FOR,67-37,67B,Förrådsdörr,,,,,,
D67-38-ENT,67-38,67C,Entrédörr,,,,,,
D67-38-BAL,67-38,67C,Balkongdörr,,,,,,
D67-38-FOR,67-38,67C,Förrådsdörr,,,,,,
D67-39-ENT,67-39,67D,Entrédörr,,,,,,
D67-39-BAL,67-39,67D,Balkongdörr,,,,,,
D67-39-FOR,67-39,67D,Förrådsdörr,,,,,,
D67-40-ENT,67-40,67E,Entrédörr,,,,,,
D67-40-BAL,67-40,67E,Balkongdörr,,,,,,
D67-40-FOR,67-40,67E,Förrådsdörr,,,,,,
D63-41-ENT,63-41,63F,Entrédörr,,,,,,
D63-41-BAL,63-41,63F,Balkongdörr,,,,,,
D63-41-FOR,63-41,63F,Förrådsdörr,,,,,,
D63-42-ENT,63-42,63E,Entrédörr,,,,,,
D63-42-BAL,63-42,63E,Balkongdörr,,,,,,
D63-42-FOR,63-42,63E,Förrådsdörr,,,,,,
D63-43-ENT,63-43,63D,Entrédörr,,,,,,
D63-43-BAL,63-43,63D,Balkongdörr,,,,,,
D63-43-FOR,63-43,63D,Förrådsdörr,,,,,,
D63-44-ENT,63-44,63C,Entrédörr,,,,,,
D63-44-BAL,63-44,63C,Balkongdörr,,,,,,
D63-44-FOR,63-44,63C,Förrådsdörr,,,,,,
D63-45-ENT,63-45,63B,Entrédörr,,,,,,
D63-45-BAL,63-45,63B,Balkongdörr,,,,,,
D63-45-FOR,63-45,63B,Förrådsdörr,,,,,,
D63-46-ENT,63-46,63A,Entrédörr,,,,,,
D63-46-BAL,63-46,63A,Balkongdörr,,,,,,
D63-46-FOR,63-46,63A,Förrådsdörr,,,,,,
D61-47-ENT,61-47,61F,Entrédörr,,,,,,
D61-47-BAL,61-47,61F,Balkongdörr,,,,,,
D61-47-FOR,61-47,61F,Förrådsdörr,,,,,,
D61-48-ENT,61-48,61E,Entrédörr,,,,,,
D61-48-BAL,61-48,61E,Balkongdörr,,,,,,
D61-48-FOR,61-48,61E,Förrådsdörr,,,,,,
D61-49-ENT,61-49,61D,Entrédörr,,,,,,
D61-49-BAL,61-49,61D,Balkongdörr,,,,,,
D61-49-FOR,61-49,61D,Förrådsdörr,,,,,,
D61-50-ENT,61-50,61C,Entrédörr,,,,,,
D61-50-BAL,61-50,61C,Balkongdörr,,,,,,
D61-50-FOR,61-50,61C,Förrådsdörr,,,,,,
D61-51-ENT,61-51,61B,Entrédörr,,,,,,
D61-51-BAL,61-51,61B,Balkongdörr,,,,,,
D61-51-FOR,61-51,61B,Förrådsdörr,,,,,,
D61-52-ENT,61-52,61A,Entrédörr,,,,,,
D61-52-BAL,61-52,61A,Balkongdörr,,,,,,
D61-52-FOR,61-52,61A,Förrådsdörr,,,,,,
D59-53-ENT,59-53,59F,Entrédörr,,,,,,
D59-53-BAL,59-53,59F,Balkongdörr,,,,,,
D59-53-FOR,59-53,59F,Förrådsdörr,,,,,,
D59-54-ENT,59-54,59E,Entrédörr,,,,,,
D59-54-BAL,59-54,59E,Balkongdörr,,,,,,
D59-54-FOR,59-54,59E,Förrådsdörr,,,,,,
D59-55-ENT,59-55,59D,Entrédörr,,,,,,
D59-55-BAL,59-55,59D,Balkongdörr,,,,,,
D59-55-FOR,59-55,59D,Förrådsdörr,,,,,,
D59-56-ENT,59-56,59C,Entrédörr,,,,,,
D59-56-BAL,59-56,59C,Balkongdörr,,,,,,
D59-56-FOR,59-56,59C,Förrådsdörr,,,,,,
D59-57-ENT,59-57,59B,Entrédörr,,,,,,
D59-57-BAL,59-57,59B,Balkongdörr,,,,,,
D59-57-FOR,59-57,59B,Förrådsdörr,,,,,,
D59-58-ENT,59-58,59A,Entrédörr,,,,,,
D59-58-BAL,59-58,59A,Balkongdörr,,,,,,
D59-58-FOR,59-58,59A,Förrådsdörr,,,,,,
D57-59-ENT,57-59,57F,Entrédörr,,,,,,
D57-59-BAL,57-59,57F,Balkongdörr,,,,,,
D57-59-FOR,57-59,57F,Förrådsdörr,,,,,,
D57-60-ENT,57-60,57E,Entrédörr,,,,,,
D57-60-BAL,57-60,57E,Balkongdörr,,,,,,
D57-60-FOR,57-60,57E,Förrådsdörr,,,,,,
D57-61-ENT,57-61,57D,Entrédörr,,,,,,
D57-61-BAL,57-61,57D,Balkongdörr,,,,,,
D57-61-FOR,57-61,57D,Förrådsdörr,,,,,,
D57-62-ENT,57-62,57C,Entrédörr,,,,,,
D57-62-BAL,57-62,57C,Balkongdörr,,,,,,
D57-62-FOR,57-62,57C,Förrådsdörr,,,,,,
D57-63-ENT,57-63,57B,Entrédörr,,,,,,
D57-63-BAL,57-63,57B,Balkongdörr,,,,,,
D57-63-FOR,57-63,57B,Förrådsdörr,,,,,,
D57-64-ENT,57-64,57A,Entrédörr,,,,,,
D57-64-BAL,57-64,57A,Balkongdörr,,,,,,
D57-64-FOR,57-64,57A,Förrådsdörr,,,,,,
D55-65-ENT,55-65,55F,Entrédörr,,,,,,
D55-65-BAL,55-65,55F,Balkongdörr,,,,,,
D55-65-FOR,55-65,55F,Förrådsdörr,,,,,,
D55-66-ENT,55-66,55E,Entrédörr,,,,,,
D55-66-BAL,55-66,55E,Balkongdörr,,,,,,
D55-66-FOR,55-66,55E,Förrådsdörr,,,,,,
D55-67-ENT,55-67,55D,Entrédörr,,,,,,
D55-67-BAL,55-67,55D,Balkongdörr,,,,,,
D55-67-FOR,55-67,55D,Förrådsdörr,,,,,,
D55-68-ENT,55-68,55C,Entrédörr,,,,,,
D55-68-BAL,55-68,55C,Balkongdörr,,,,,,
D55-68-FOR,55-68,55C,Förrådsdörr,,,,,,
D55-69-ENT,55-69,55B,Entrédörr,,,,,,
D55-69-BAL,55-69,55B,Balkongdörr,,,,,,
D55-69-FOR,55-69,55B,Förrådsdörr,,,,,,
D55-70-ENT,55-70,55A,Entrédörr,,,,,,
D55-70-BAL,55-70,55A,Balkongdörr,,,,,,
D55-70-FOR,55-70,55A,Förrådsdörr,,,,,,
D53-71-ENT,53-71,53F,Entrédörr,,,,,,
D53-71-BAL,53-71,53F,Balkongdörr,,,,,,
D53-71-FOR,53-71,53F,Förrådsdörr,,,,,,
D53-72-ENT,53-72,53E,Entrédörr,,,,,,
D53-72-BAL,53-72,53E,Balkongdörr,,,,,,
D53-72-FOR,53-72,53E,Förrådsdörr,,,,,,
D53-73-ENT,53-73,53D,Entrédörr,,,,,,
D53-73-BAL,53-73,53D,Balkongdörr,,,,,,
D53-73-FOR,53-73,53D,Förrådsdörr,,,,,,
D53-74-ENT,53-74,53C,Entrédörr,,,,,,
D53-74-BAL,53-74,53C,Balkongdörr,,,,,,
D53-74-FOR,53-74,53C,Förrådsdörr,,,,,,
D53-75-ENT,53-75,53B,Entrédörr,,,,,,
D53-75-BAL,53-75,53B,Balkongdörr,,,,,,
D53-75-FOR,53-75,53B,Förrådsdörr,,,,,,
D53-76-ENT,53-76,53A,Entrédörr,,,,,,
D53-76-BAL,53-76,53A,Balkongdörr,,,,,,
D53-76-FOR,53-76,53A,Förrådsdörr,,,,,,
D51-77-ENT,51-77,51B,Entrédörr,,,,,,
D51-77-BAL,51-77,51B,Balkongdörr,,,,,,
D51-77-FOR,51-77,51B,Förrådsdörr,,,,,,
D51-78-ENT,51-78,51A,Entrédörr,,,,,,
D51-78-BAL,51-78,51A,Balkongdörr,,,,,,
D51-78-FOR,51-78,51A,Förrådsdörr,,,,,,
